Interaction_ID,Customer_ID,Date_Time,Query_Type,Response_Type,Outcome
INT010000,CUST000001,2025-11-21 08:04:56,billing_explanation,automated,resolved
INT010001,CUST000001,2025-08-26 00:46:41,energy_saving_tips,human,resolved
INT010002,CUST000001,2025-10-04 08:50:11,energy_saving_tips,automated,resolved
INT010003,CUST000001,2025-12-01 01:14:16,energy_saving_tips,automated,resolved
INT010004,CUST000002,2025-08-30 18:18:20,billing_explanation,automated,resolved
INT010005,CUST000002,2025-10-13 18:08:32,billing_explanation,automated,resolved
INT010006,CUST000002,2025-07-13 16:34:06,usage_question,automated,resolved
INT010007,CUST000003,2025-09-22 07:41:28,billing_explanation,automated,resolved
INT010008,CUST000003,2025-09-28 13:33:00,billing_explanation,human,resolved
INT010009,CUST000003,2025-07-14 18:12:43,billing_explanation,automated,resolved
INT010010,CUST000003,2025-12-22 20:01:45,billing_explanation,automated,resolved
INT010011,CUST000004,2025-08-01 07:29:03,usage_question,automated,resolved
INT010012,CUST000004,2025-09-08 14:06:23,energy_saving_tips,automated,resolved
INT010013,CUST000004,2025-07-26 15:35:32,billing_explanation,automated,resolved
INT010014,CUST000004,2025-10-21 02:10:40,usage_question,automated,resolved
INT010015,CUST000005,2025-08-06 19:52:11,energy_saving_tips,automated,resolved
INT010016,CUST000005,2025-12-24 23:28:23,energy_saving_tips,human,resolved
INT010017,CUST000005,2025-10-07 03:40:23,energy_saving_tips,automated,resolved
INT010018,CUST000005,2025-09-24 05:29:18,energy_saving_tips,automated,resolved
INT010019,CUST000006,2025-07-28 07:12:14,billing_explanation,automated,escalated
INT010020,CUST000006,2025-12-05 21:01:14,billing_explanation,automated,resolved
INT010021,CUST000007,2025-11-28 01:29:49,usage_question,automated,escalated
INT010022,CUST000007,2025-07-30 08:29:54,account_balance,automated,resolved
INT010023,CUST000007,2025-08-11 22:19:45,energy_saving_tips,automated,resolved
INT010024,CUST000008,2025-10-13 22:53:04,payment_issue,automated,resolved
INT010025,CUST000008,2025-08-22 14:06:25,billing_explanation,automated,resolved
INT010026,CUST000008,2025-11-18 17:04:52,usage_question,automated,unresolved
INT010027,CUST000008,2025-08-14 16:30:02,energy_saving_tips,automated,resolved
INT010028,CUST000008,2025-08-07 22:27:38,usage_question,automated,resolved
INT010029,CUST000009,2025-11-20 08:08:58,usage_question,automated,escalated
INT010030,CUST000009,2025-10-13 12:39:35,energy_saving_tips,automated,resolved
INT010031,CUST000011,2025-07-10 11:00:43,usage_question,automated,resolved
INT010032,CUST000011,2025-12-10 13:37:55,billing_explanation,automated,resolved
INT010033,CUST000012,2025-08-11 23:12:29,billing_explanation,automated,resolved
INT010034,CUST000012,2025-07-13 10:21:21,energy_saving_tips,automated,resolved
INT010035,CUST000013,2025-08-29 05:49:15,account_balance,automated,resolved
INT010036,CUST000013,2025-07-17 04:03:04,account_balance,automated,resolved
INT010037,CUST000014,2025-10-09 04:44:20,energy_saving_tips,automated,resolved
INT010038,CUST000014,2025-07-12 01:57:52,energy_saving_tips,human,escalated
INT010039,CUST000015,2025-12-21 01:39:11,energy_saving_tips,automated,escalated
INT010040,CUST000015,2025-07-15 13:54:03,usage_question,automated,unresolved
INT010041,CUST000015,2025-12-17 15:02:02,energy_saving_tips,human,resolved
INT010042,CUST000015,2025-11-28 21:16:09,energy_saving_tips,automated,resolved
INT010043,CUST000015,2025-11-12 12:16:34,account_balance,automated,resolved
INT010044,CUST000015,2025-09-02 19:39:54,energy_saving_tips,automated,resolved
INT010045,CUST000015,2025-12-28 10:13:52,energy_saving_tips,automated,resolved
INT010046,CUST000015,2025-09-28 18:41:35,usage_question,automated,resolved
INT010047,CUST000015,2025-09-26 22:54:27,account_balance,automated,resolved
INT010048,CUST000016,2025-08-24 23:44:24,energy_saving_tips,automated,resolved
INT010049,CUST000016,2025-08-17 10:54:46,billing_explanation,automated,resolved
INT010050,CUST000016,2025-09-22 23:05:49,account_balance,automated,resolved
INT010051,CUST000016,2025-09-15 00:16:51,account_balance,automated,resolved
INT010052,CUST000016,2025-08-07 03:13:38,energy_saving_tips,automated,resolved
INT010053,CUST000016,2025-07-26 03:07:49,usage_question,automated,resolved
INT010054,CUST000017,2025-10-30 18:12:16,billing_explanation,automated,resolved
INT010055,CUST000017,2025-12-15 19:21:48,energy_saving_tips,automated,resolved
INT010056,CUST000017,2025-11-28 14:49:06,technical_support,human,escalated
INT010057,CUST000018,2025-12-16 07:15:21,energy_saving_tips,automated,resolved
INT010058,CUST000019,2025-10-12 13:19:41,account_balance,automated,resolved
INT010059,CUST000019,2025-08-23 21:43:55,energy_saving_tips,automated,resolved
INT010060,CUST000021,2025-09-26 15:42:33,account_balance,automated,resolved
INT010061,CUST000021,2025-10-07 04:55:57,energy_saving_tips,automated,resolved
INT010062,CUST000025,2025-07-10 23:13:30,energy_saving_tips,human,resolved
INT010063,CUST000027,2025-08-31 12:36:05,usage_question,automated,resolved
INT010064,CUST000027,2025-11-28 03:40:16,account_balance,automated,resolved
INT010065,CUST000027,2025-11-28 09:32:30,billing_explanation,automated,resolved
INT010066,CUST000028,2025-08-08 20:40:41,energy_saving_tips,human,resolved
INT010067,CUST000028,2025-08-16 03:31:03,energy_saving_tips,automated,resolved
INT010068,CUST000028,2025-12-13 05:17:38,energy_saving_tips,automated,resolved
INT010069,CUST000028,2025-11-05 11:35:06,technical_support,automated,resolved
INT010070,CUST000029,2025-07-28 10:11:46,billing_explanation,automated,escalated
INT010071,CUST000029,2025-08-07 12:40:02,energy_saving_tips,automated,resolved
INT010072,CUST000029,2025-09-01 10:54:23,account_balance,automated,resolved
INT010073,CUST000029,2025-09-25 13:08:32,energy_saving_tips,automated,resolved
INT010074,CUST000030,2025-12-19 18:23:05,energy_saving_tips,automated,resolved
INT010075,CUST000030,2025-12-15 11:25:10,account_balance,human,resolved
INT010076,CUST000030,2025-07-11 10:49:24,energy_saving_tips,automated,resolved
INT010077,CUST000031,2025-11-05 12:01:47,usage_question,automated,unresolved
INT010078,CUST000031,2025-12-31 13:27:41,energy_saving_tips,automated,resolved
INT010079,CUST000032,2025-12-04 23:06:46,energy_saving_tips,automated,resolved
INT010080,CUST000032,2025-08-07 02:39:10,billing_explanation,automated,resolved
INT010081,CUST000032,2025-10-13 04:35:16,energy_saving_tips,automated,resolved
INT010082,CUST000033,2025-12-14 04:17:56,billing_explanation,automated,resolved
INT010083,CUST000033,2025-07-25 21:23:48,billing_explanation,automated,resolved
INT010084,CUST000033,2025-12-09 00:37:39,energy_saving_tips,human,resolved
INT010085,CUST000034,2026-01-02 04:12:09,billing_explanation,automated,resolved
INT010086,CUST000034,2025-09-14 17:43:07,account_balance,automated,resolved
INT010087,CUST000034,2025-08-23 23:25:26,energy_saving_tips,automated,escalated
INT010088,CUST000036,2025-07-12 05:15:31,energy_saving_tips,automated,unresolved
INT010089,CUST000036,2025-08-06 12:05:15,billing_explanation,automated,resolved
INT010090,CUST000038,2025-12-02 21:25:36,usage_question,automated,resolved
INT010091,CUST000038,2025-08-05 15:48:29,billing_explanation,automated,resolved
INT010092,CUST000039,2025-12-24 22:13:58,energy_saving_tips,automated,resolved
INT010093,CUST000039,2025-09-14 01:37:20,payment_issue,human,resolved
INT010094,CUST000040,2025-08-05 12:11:42,billing_explanation,automated,resolved
INT010095,CUST000040,2025-12-24 18:47:57,energy_saving_tips,automated,resolved
INT010096,CUST000041,2025-08-12 01:47:50,usage_question,automated,resolved
INT010097,CUST000041,2025-11-14 18:35:07,technical_support,automated,resolved
INT010098,CUST000042,2025-10-15 05:04:18,usage_question,automated,escalated
INT010099,CUST000043,2025-12-28 04:27:15,energy_saving_tips,automated,resolved
INT010100,CUST000043,2025-11-17 11:01:25,billing_explanation,automated,resolved
INT010101,CUST000043,2026-01-02 23:47:15,account_balance,automated,resolved
INT010102,CUST000043,2025-09-23 14:13:12,energy_saving_tips,automated,escalated
INT010103,CUST000044,2025-09-04 14:02:05,energy_saving_tips,automated,resolved
INT010104,CUST000046,2025-12-17 14:52:52,billing_explanation,human,resolved
INT010105,CUST000046,2025-10-19 19:30:37,billing_explanation,automated,resolved
INT010106,CUST000046,2025-08-21 00:22:58,energy_saving_tips,automated,resolved
INT010107,CUST000046,2025-09-23 00:09:01,payment_issue,automated,resolved
INT010108,CUST000047,2025-11-21 12:13:55,billing_explanation,automated,resolved
INT010109,CUST000049,2025-11-10 05:44:32,energy_saving_tips,automated,resolved
INT010110,CUST000049,2025-07-26 06:51:38,payment_issue,automated,resolved
INT010111,CUST000050,2025-08-02 18:31:05,energy_saving_tips,automated,resolved
INT010112,CUST000050,2025-07-28 14:07:27,energy_saving_tips,automated,resolved
INT010113,CUST000051,2025-11-03 21:17:46,energy_saving_tips,automated,resolved
INT010114,CUST000051,2025-12-17 16:46:05,energy_saving_tips,automated,resolved
INT010115,CUST000051,2025-08-27 04:41:43,energy_saving_tips,automated,escalated
INT010116,CUST000051,2025-09-21 12:25:34,energy_saving_tips,human,resolved
INT010117,CUST000051,2025-09-25 13:22:11,usage_question,automated,resolved
INT010118,CUST000051,2025-12-01 09:06:04,billing_explanation,automated,resolved
INT010119,CUST000051,2025-07-10 01:51:35,usage_question,automated,resolved
INT010120,CUST000052,2025-10-14 19:03:08,account_balance,human,resolved
INT010121,CUST000052,2025-10-20 18:09:41,billing_explanation,automated,escalated
INT010122,CUST000052,2025-08-19 12:46:14,technical_support,automated,resolved
INT010123,CUST000053,2025-11-24 07:41:40,payment_issue,automated,resolved
INT010124,CUST000053,2025-12-15 08:14:25,account_balance,automated,resolved
INT010125,CUST000053,2025-08-29 01:50:06,usage_question,human,resolved
INT010126,CUST000053,2025-09-01 07:17:35,billing_explanation,automated,resolved
INT010127,CUST000053,2025-11-08 14:34:43,energy_saving_tips,automated,resolved
INT010128,CUST000053,2025-10-09 02:01:41,energy_saving_tips,automated,resolved
INT010129,CUST000053,2025-08-02 23:03:17,technical_support,human,resolved
INT010130,CUST000054,2025-07-10 19:41:36,billing_explanation,automated,resolved
INT010131,CUST000056,2025-07-26 13:48:02,energy_saving_tips,human,resolved
INT010132,CUST000056,2025-11-11 02:37:22,energy_saving_tips,automated,resolved
INT010133,CUST000057,2025-08-12 16:30:59,usage_question,automated,resolved
INT010134,CUST000057,2025-10-26 05:22:55,usage_question,automated,resolved
INT010135,CUST000057,2025-08-20 09:19:00,billing_explanation,automated,resolved
INT010136,CUST000058,2025-09-15 21:44:36,usage_question,automated,resolved
INT010137,CUST000058,2025-11-16 12:11:45,energy_saving_tips,human,resolved
INT010138,CUST000058,2025-11-22 06:49:34,energy_saving_tips,automated,resolved
INT010139,CUST000059,2025-11-03 08:29:27,billing_explanation,human,resolved
INT010140,CUST000059,2025-09-07 05:38:22,energy_saving_tips,automated,unresolved
INT010141,CUST000060,2025-10-09 14:48:03,account_balance,automated,resolved
INT010142,CUST000062,2025-07-29 02:51:52,usage_question,human,resolved
INT010143,CUST000062,2025-10-29 00:30:54,billing_explanation,automated,resolved
INT010144,CUST000062,2025-12-28 09:22:46,technical_support,human,resolved
INT010145,CUST000062,2025-09-18 15:45:25,billing_explanation,automated,unresolved
INT010146,CUST000062,2025-07-18 17:05:16,payment_issue,automated,resolved
INT010147,CUST000062,2025-08-09 04:45:28,account_balance,automated,resolved
INT010148,CUST000063,2025-12-03 14:09:42,energy_saving_tips,automated,resolved
INT010149,CUST000063,2025-08-19 18:16:31,usage_question,human,escalated
INT010150,CUST000063,2025-12-05 14:32:36,energy_saving_tips,automated,resolved
INT010151,CUST000063,2025-08-07 12:40:43,usage_question,automated,resolved
INT010152,CUST000064,2025-12-23 09:15:43,payment_issue,automated,resolved
INT010153,CUST000064,2025-09-06 22:22:15,usage_question,automated,escalated
INT010154,CUST000064,2025-09-14 03:05:53,billing_explanation,automated,resolved
INT010155,CUST000065,2025-11-09 23:52:18,account_balance,automated,escalated
INT010156,CUST000065,2025-07-13 13:37:43,billing_explanation,automated,resolved
INT010157,CUST000065,2025-09-03 08:05:06,energy_saving_tips,human,resolved
INT010158,CUST000065,2025-12-22 08:54:19,billing_explanation,automated,resolved
INT010159,CUST000066,2025-08-05 11:59:40,energy_saving_tips,automated,resolved
INT010160,CUST000067,2025-12-24 11:57:14,usage_question,automated,resolved
INT010161,CUST000067,2025-12-15 04:51:33,usage_question,automated,escalated
INT010162,CUST000067,2025-09-07 13:14:17,billing_explanation,automated,resolved
INT010163,CUST000068,2025-09-06 17:14:26,energy_saving_tips,automated,resolved
INT010164,CUST000068,2025-07-21 11:47:08,energy_saving_tips,human,resolved
INT010165,CUST000068,2025-10-17 07:23:58,billing_explanation,automated,resolved
INT010166,CUST000070,2025-10-22 10:39:44,energy_saving_tips,automated,resolved
INT010167,CUST000071,2025-11-10 12:47:01,technical_support,automated,resolved
INT010168,CUST000071,2025-10-17 14:01:08,billing_explanation,automated,resolved
INT010169,CUST000071,2025-08-26 10:13:12,technical_support,automated,resolved
INT010170,CUST000072,2025-12-07 04:09:18,energy_saving_tips,automated,resolved
INT010171,CUST000072,2025-08-15 03:51:29,payment_issue,automated,resolved
