Ticket_ID,Customer_ID,Issue_Type,Ticket_Status,Date_Opened,Date_Closed,Resolution_Method
TKT001000,CUST000002,technical_issue,open,2025-08-29,,
TKT001001,CUST000004,energy_saving_advice,in_progress,2025-05-18,,
TKT001002,CUST000004,billing_discrepancy,closed,2025-10-24,2025-10-25,chatbot_automated
TKT001003,CUST000005,service_interruption,closed,2025-10-21,2025-10-31,human_agent
TKT001004,CUST000005,billing_discrepancy,closed,2025-09-13,2025-09-21,human_agent
TKT001005,CUST000007,energy_saving_advice,closed,2025-03-24,2025-03-25,human_agent
TKT001006,CUST000007,billing_discrepancy,closed,2025-12-22,2025-12-27,human_agent
TKT001007,CUST000008,usage_concern,closed,2025-08-14,2025-08-23,chatbot_automated
TKT001008,CUST000009,usage_concern,closed,2025-01-29,2025-02-04,chatbot_automated
TKT001009,CUST000009,energy_saving_advice,closed,2025-10-07,2025-10-12,chatbot_automated
TKT001010,CUST000009,energy_saving_advice,closed,2025-12-05,2025-12-16,human_agent
TKT001011,CUST000011,energy_saving_advice,closed,2025-10-04,2025-10-10,human_agent
TKT001012,CUST000011,usage_concern,closed,2025-01-13,2025-01-22,human_agent
TKT001013,CUST000011,usage_concern,closed,2025-07-27,2025-08-02,human_agent
TKT001014,CUST000011,energy_saving_advice,open,2025-01-19,,
TKT001015,CUST000012,billing_discrepancy,closed,2025-07-11,2025-07-18,chatbot_automated
TKT001016,CUST000012,usage_concern,closed,2025-12-13,2025-12-18,human_agent
TKT001017,CUST000012,billing_discrepancy,closed,2025-11-03,2025-11-10,human_agent
TKT001018,CUST000013,service_interruption,closed,2025-12-14,2025-12-23,chatbot_automated
TKT001019,CUST000013,usage_concern,closed,2025-11-21,2025-12-04,human_agent
TKT001020,CUST000014,usage_concern,closed,2025-04-23,2025-05-04,chatbot_automated
TKT001021,CUST000014,technical_issue,closed,2025-08-09,2025-08-16,human_agent
TKT001022,CUST000015,usage_concern,in_progress,2025-10-05,,
TKT001023,CUST000016,billing_discrepancy,open,2025-09-19,,
TKT001024,CUST000021,usage_concern,closed,2025-10-18,2025-10-20,human_agent
TKT001025,CUST000025,usage_concern,closed,2025-01-10,2025-01-16,human_agent
TKT001026,CUST000025,energy_saving_advice,in_progress,2025-03-06,,
TKT001027,CUST000028,billing_discrepancy,open,2025-12-12,,
TKT001028,CUST000030,energy_saving_advice,closed,2025-11-22,2025-11-28,human_agent
TKT001029,CUST000031,account_management,open,2025-10-20,,
TKT001030,CUST000032,technical_issue,closed,2025-10-31,2025-11-13,human_agent
TKT001031,CUST000032,energy_saving_advice,closed,2025-11-16,2025-11-21,system_auto_resolved
TKT001032,CUST000034,usage_concern,closed,2025-11-11,2025-11-22,chatbot_automated
TKT001033,CUST000034,usage_concern,closed,2025-05-25,2025-05-31,human_agent
TKT001034,CUST000039,technical_issue,closed,2025-08-24,2025-08-25,system_auto_resolved
TKT001035,CUST000040,energy_saving_advice,closed,2025-12-23,2025-12-26,human_agent
TKT001036,CUST000040,usage_concern,closed,2025-01-19,2025-01-31,chatbot_automated
TKT001037,CUST000040,energy_saving_advice,in_progress,2025-04-05,,
TKT001038,CUST000041,billing_discrepancy,closed,2025-10-24,2025-10-26,chatbot_automated
TKT001039,CUST000041,billing_discrepancy,closed,2025-03-17,2025-03-21,human_agent
TKT001040,CUST000042,billing_discrepancy,closed,2025-08-22,2025-08-25,chatbot_automated
TKT001041,CUST000042,energy_saving_advice,closed,2025-08-19,2025-08-26,human_agent
TKT001042,CUST000042,billing_discrepancy,closed,2025-10-15,2025-10-24,chatbot_automated
TKT001043,CUST000043,billing_discrepancy,closed,2025-02-26,2025-03-08,human_agent
TKT001044,CUST000043,account_management,closed,2025-11-17,2025-11-22,human_agent
TKT001045,CUST000047,usage_concern,in_progress,2025-02-02,,
TKT001046,CUST000047,billing_discrepancy,in_progress,2025-08-31,,
TKT001047,CUST000050,billing_discrepancy,closed,2025-05-11,2025-05-17,human_agent
TKT001048,CUST000051,billing_discrepancy,closed,2026-01-02,2026-01-04,system_auto_resolved
TKT001049,CUST000052,usage_concern,in_progress,2025-06-26,,
TKT001050,CUST000053,service_interruption,closed,2025-02-11,2025-02-17,human_agent
TKT001051,CUST000053,billing_discrepancy,closed,2025-01-27,2025-01-28,human_agent
TKT001052,CUST000053,usage_concern,closed,2026-01-02,2026-01-04,human_agent
TKT001053,CUST000054,usage_concern,in_progress,2025-08-30,,
TKT001054,CUST000054,energy_saving_advice,closed,2025-12-01,2025-12-09,human_agent
TKT001055,CUST000056,service_interruption,closed,2025-07-07,2025-07-17,human_agent
TKT001056,CUST000056,billing_discrepancy,in_progress,2025-10-05,,
TKT001057,CUST000057,billing_discrepancy,open,2026-01-01,,
TKT001058,CUST000057,usage_concern,closed,2025-07-18,2025-07-24,human_agent
TKT001059,CUST000058,technical_issue,closed,2025-05-18,2025-05-31,human_agent
TKT001060,CUST000059,usage_concern,closed,2025-07-29,2025-08-05,human_agent
TKT001061,CUST000060,account_management,closed,2025-01-11,2025-01-24,human_agent
TKT001062,CUST000060,billing_discrepancy,closed,2025-02-11,2025-02-18,human_agent
TKT001063,CUST000060,energy_saving_advice,closed,2025-12-12,2025-12-21,human_agent
TKT001064,CUST000060,billing_discrepancy,closed,2025-11-09,2025-11-16,human_agent
TKT001065,CUST000062,billing_discrepancy,closed,2025-07-26,2025-08-08,human_agent
TKT001066,CUST000062,energy_saving_advice,closed,2025-07-23,2025-07-25,human_agent
TKT001067,CUST000064,service_interruption,closed,2025-07-01,2025-07-02,human_agent
TKT001068,CUST000065,billing_discrepancy,closed,2025-04-12,2025-04-13,human_agent
TKT001069,CUST000066,billing_discrepancy,closed,2025-07-28,2025-08-06,human_agent
TKT001070,CUST000067,billing_discrepancy,closed,2025-12-20,2026-01-01,chatbot_automated
TKT001071,CUST000067,energy_saving_advice,closed,2025-05-21,2025-05-25,chatbot_automated
TKT001072,CUST000068,technical_issue,closed,2025-02-26,2025-03-05,human_agent
TKT001073,CUST000068,billing_discrepancy,closed,2025-07-21,2025-07-28,chatbot_automated
TKT001074,CUST000069,billing_discrepancy,in_progress,2025-11-15,,
TKT001075,CUST000070,billing_discrepancy,closed,2025-04-20,2025-04-30,human_agent
TKT001076,CUST000074,usage_concern,closed,2025-09-15,2025-09-24,human_agent
TKT001077,CUST000074,energy_saving_advice,closed,2025-03-02,2025-03-05,human_agent
TKT001078,CUST000077,usage_concern,in_progress,2025-09-11,,
TKT001079,CUST000079,billing_discrepancy,closed,2025-09-17,2025-09-28,human_agent
TKT001080,CUST000080,energy_saving_advice,closed,2025-04-13,2025-04-17,human_agent
TKT001081,CUST000081,usage_concern,closed,2025-12-04,2025-12-10,chatbot_automated
TKT001082,CUST000081,usage_concern,closed,2025-04-13,2025-04-26,human_agent
TKT001083,CUST000081,service_interruption,closed,2025-07-17,2025-07-29,human_agent
TKT001084,CUST000082,billing_discrepancy,closed,2025-06-29,2025-07-11,human_agent
TKT001085,CUST000082,billing_discrepancy,closed,2025-02-13,2025-02-20,human_agent
TKT001086,CUST000084,technical_issue,open,2025-05-18,,
TKT001087,CUST000084,usage_concern,closed,2025-02-07,2025-02-18,chatbot_automated
TKT001088,CUST000085,service_interruption,closed,2025-01-23,2025-01-31,chatbot_automated
TKT001089,CUST000085,service_interruption,closed,2025-11-01,2025-11-06,human_agent
TKT001090,CUST000085,technical_issue,closed,2025-05-28,2025-06-01,human_agent
TKT001091,CUST000085,billing_discrepancy,closed,2025-11-29,2025-12-07,human_agent
TKT001092,CUST000086,usage_concern,closed,2025-07-22,2025-07-26,human_agent
